Line,CTC Item ID,Description,CSI,Division,UOM,Quantity,Quantity Basis,Quantity Class,Material Unit 2023,Labor Unit 2023,Equipment Unit 2023,Published Direct Unit 2023,Labor Hours,CTC Labor Rate 2023,Current Labor Rate,Labor Rate Source Task,Mapped Trade,Labor Hours Method,Waste %,Location Factor,Productivity Factor,Labor Esc.,Material Esc.,Equipment Esc.,Material,Labor,Equipment,Subcontractor,Extended,Price Date,Source,Confidence,Notes
43,21 13 13 00-0006,"Exposed Piping, Ordinary Hazard, Complete Wet-Pipe Sprinkler System, Per Head",21,Fire Suppression,EA,677.4193548387096,Garage ordinary-hazard wet-pipe coverage,Calculated,274.2705,274.2705,60.949,609.49,2389.353718637993,77.76,89.42399999999999,01 22 20 00-0030,Sprinkler Installer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.05,1,1,1.15,1.12,1.125,218496.26670967744,213665.56693548383,46449.036290322576,0,478610.8699354838,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 1863",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
44,22 41 13 13-0002,"2 Piece Tank Type, Gravity Flush System, Floor Mounted, Floor Outlet, Elongated Vitreous China Water Closet (Kohler Wellworth® K-3978)",22,Plumbing,EA,696,One water closet per bathroom,Calculated,164.12,205.15,41.03,410.3,1772.398212512413,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,136890.25996800003,164202.06,32126.489999999998,0,333218.80996800005,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2107",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
45,22 42 19 00-0013,"60"" x 32"" x 19"", Acrylic, Recessed Alcove Bathtub (Kohler® Archer®)",22,Plumbing,EA,696,One tub/shower assembly per bathroom,Calculated,355.996,444.995,88.999,889.99,3844.544687189672,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,296931.4220544,356173.99799999996,69686.217,0,722791.6370544,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2117",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
46,22 41 16 16-0002,"25"" x 22"" x 6"" Stainless Steel Kitchen Sink, Single Bowl, 22 Gauge (Elkay K125224)",22,Plumbing,EA,480,One kitchen sink per unit,Calculated,201.4,251.75,50.35,503.5,1500,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,115851.72480000003,138966,27189.000000000004,0,282006.7248,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2107",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
47,22 41 39 00-0003,Chrome Single Handle Kitchen Faucet With Spray (Delta 400LF-WF),22,Plumbing,EA,480,One kitchen faucet per unit,Calculated,72.252,90.315,18.063,180.63,538.1231380337637,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,41561.662464,49853.88,9754.019999999999,0,101169.562464,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2108",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
48,22 41 39 00-0012,"Chrome, Single Lever Handle, Lavatory Faucet (Delta 500-WF)",22,Plumbing,EA,696,One lavatory faucet per bathroom,Calculated,57.38,71.725,14.345,143.45,619.6698113207547,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,47859.877632,57408.68999999999,11232.135000000002,0,116500.702632,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2108",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
49,01 95 22 00-0006,"30-1/2"" Preassembled Residential Vanity With Top (Glacier Bay GB30P2COM-WH)",01,General Requirements,EA,696,One vanity per bathroom,Calculated,102.155,245.172,61.293,408.62,4636.948695652174,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,82020.82156800001,196235.66879999998,47992.418999999994,0,326248.909368,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 93",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
50,22 33 30 16-0004,"50 Gallon, Electric Domestic Water Heater",22,Plumbing,EA,480,One 50-gallon electric water heater per unit,Calculated,741.148,926.435,185.287,1852.87,5519.970208540218,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,426332.046336,511392.11999999994,100054.98000000001,0,1037779.146336,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2101",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
51,23 81 13 11-0010,"11,800 BTU, 11.6 EER, 230/208 Volt, Heat Pump, Heating And Cooling, Packaged Terminal Air-Conditioner",23,HVAC,EA,264,One packaged terminal heat pump per studio/1BR,Calculated,955.9575,955.9575,212.435,2124.35,3056.470630979775,82.57,94.95549999999999,01 22 20 00-0029,Sheet Metal Worker,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.04,1,1,1.15,1.12,1.125,293963.81414400006,290228.697,63093.195,0,647285.706144,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2695",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
52,23 81 49 00-0028,"17,500 BTU Cooling, 20,400 BTU Heating, 20 SEER, Wall Mounted Ductless Split System Heat Pumps",23,HVAC,EA,168,"One 17,500-BTU ductless heat pump per 2BR",Calculated,1302.633,1302.633,289.474,2894.74,2650.3856606515687,82.57,94.95549999999999,01 22 20 00-0029,Sheet Metal Worker,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.04,1,1,1.15,1.12,1.125,254907.56229120004,251668.69559999998,54710.586,0,561286.8438912,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2707",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
53,23 81 49 00-0029,"24,200 BTU Cooling, 29,000 BTU Heating, 17 SEER, Wall Mounted Ductless Split System Heat Pumps",23,HVAC,EA,48,"One 24,200-BTU ductless heat pump per 3BR",Calculated,1503.081,1503.081,334.018,3340.18,873.7784667554802,82.57,94.95549999999999,01 22 20 00-0029,Sheet Metal Worker,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.04,1,1,1.15,1.12,1.125,84037.85994240001,82970.07119999999,18036.971999999998,0,185044.90314240003,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2707",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
54,01 95 23 00-0009,Removal And Replacement Of Residential Exhaust Fan,01,General Requirements,EA,960,Two residential exhaust fans per unit,Calculated,51.4175,123.402,30.8505,205.67,3219.1826086956526,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,56942.61888000001,136235.808,33318.54,0,226496.96688,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 94",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
55,23 74 16 13-0002,"2 Ton Electric Cooling, Electric Heat, Self Contained Package Rooftop Unit",23,HVAC,EA,24,"Retail/common-area packaged rooftop units at approximately one/3,300 SF",Calculated,1962.2295,1962.2295,436.051,4360.51,570.3464696621049,82.57,94.95549999999999,01 22 20 00-0029,Sheet Metal Worker,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.04,1,1,1.15,1.12,1.125,54854.5181184,54157.534199999995,11773.377,0,120785.42931840001,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 2687",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
56,26 24 16 00-0009,"100 Ampere Rating, 120/240 Volt, 3 Wire, 1 Phase, Main Lugs, 24 Circuit Capacity Assembled Panelboard With Eighteen 20 Ampere Breakers",26,Electrical,EA,480,"One complete 100A, 24-circuit apartment panelboard",Calculated,676.112,929.654,84.514,1690.28,5743.775518084696,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,388921.257984,513169.0079999999,45637.56,0,947727.825984,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3187",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
57,01 95 26 00-0002,"2 Conductors, 12 AWG, Residential Non-Metallic Sheathed, Solid Copper Cable",01,General Requirements,LF,1485000,Three LF branch wiring per residential GSF,Calculated,0.7725,1.854,0.4635,3.09,74814.94565217392,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,1323366.6600000004,3166168.5,774334.6875,0,5263869.8475,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 94",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
58,01 95 26 00-0007,"12"" Round, 2 - 13 Watt Lamps, Close To Ceiling, Compact Fluorescent  Residential Fixture (Sea Gull 5902-15)",01,General Requirements,EA,3840,Eight residential ceiling fixtures per unit,Calculated,41.7975,100.314,25.0785,167.19,10467.547826086957,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,185155.56864,442986.6239999999,108339.12,0,736481.3126399999,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 94",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
59,26 05 33 16-0024,"One Duplex Receptacle, 4"" Square Steel Exposed Work Cover",26,Electrical,EA,11520,Twenty-four duplex device/box equivalents per unit,Calculated,4.448,6.116,0.556,11.12,906.8904620929334,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,61407.16646400002,81024.768,7205.76,0,149637.69446400003,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3013",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
60,27 05 29 00-0004,"1-5/16"" Hook Size, Pre-Galvanized Finish, Screw On, Communications And Low Voltage Cable Hook (J-Hook) (Cooper B-line BCH21)",27,Communications,EA,4800,Communications cable supports; backbone/cable allowance,Calculated,3.519,3.91,0.391,7.82,241.5754923413567,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,20242.414080000002,21583.2,2111.4,0,43937.01408,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3453",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
61,28 46 13 31-0976,NFS2-640 CPU For Intelligent Fire Alarm Control Panel (Notifier CPU2-640),28,Electronic Safety and Security,EA,4,One intelligent fire-alarm CPU per building,Calculated,1631.385,1812.65,181.265,3625.3,93.3273265542541,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.04,1,1,1.15,1.12,1.125,7600.948992000001,8338.19,815.6924999999999,0,16754.831492,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3564",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
62,01 95 26 00-0029,"AC Powered, Residential Carbon Monoxide and Fire Alarm (Kidde 900-0114)",01,General Requirements,EA,960,Two combined CO/fire alarms per unit,Calculated,39.0175,93.642,23.4105,156.07,2442.834782608696,36.8,42.31999999999999,01 22 20 00-0015,Laborer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.03,1,1,1.15,1.12,1.125,43210.16448,103380.76799999998,25283.34,0,171874.27247999999,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 95",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
63,31 24 13 00-0004,"Cut, Shape, and Rough Grading for Roadways, Parking Areas, Landscaping and Embankments by Machine in Soil",31,Earthwork,CY,55000,Conceptual cut/shape/rough-grade volume over 78% disturbed site,Benchmark assumption,0.6375,1.4875,2.125,4.25,1410.560344827586,58,66.69999999999999,01 22 20 00-0012,"Equipment Operator, Medium (Bulldozer)",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,43197,94084.37499999999,131484.375,0,268765.75,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3604",Low,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
64,31 23 16 33-0003,"Bulk Excavation by Hydraulic Excavator, Front End Loader, Backhoe in Soil",31,Earthwork,CY,65000,Conceptual bulk excavation in soil,Benchmark assumption,0.6105,1.4245,2.035,4.07,1596.4224137931035,58,66.69999999999999,01 22 20 00-0012,"Equipment Operator, Medium (Bulldozer)",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,48888.84000000001,106481.375,148809.375,0,304179.59,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3600",Low,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
65,32 11 16 16-0007,"6"" Crushed Aggregate Base Course For Roadways And Parking Areas",32,Exterior Improvements,SY,28722.222222222223,Six-inch aggregate base at roads and surface parking,Calculated,4.6035,4.092,1.5345,10.23,2026.4022988505744,58,66.69999999999999,01 22 20 00-0013,"Equipment Operator, Light (Backhoe, Skid-Steer Loader)",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,159936.63840000005,135161.0333333333,49583.53125,0,344681.2029833334,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3638",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
66,32 12 16 13-0005,"2"" Thick Bituminous Hot Mix Intermediate Binder Course",32,Exterior Improvements,SY,28722.222222222223,Asphalt binder course at roads and surface parking,Calculated,5.8095,5.164,1.9365,12.91,2557.268199233716,58,66.69999999999999,01 22 20 00-0013,"Equipment Operator, Light (Backhoe, Skid-Steer Loader)",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,201835.97280000005,170569.78888888887,62573.15625,0,434978.9179388889,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3640",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
67,32 16 23 00-0002,"4"" Cast In Place Concrete Sidewalk",32,Exterior Improvements,SF,65000,Four-inch concrete walks,Calculated,2.772,2.464,0.924,6.16,2761.3793103448274,58,66.69999999999999,01 22 20 00-0013,"Equipment Operator, Light (Backhoe, Skid-Steer Loader)",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,217945.72800000003,184183.99999999997,67567.5,0,469697.228,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3656",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
68,32 16 13 13-0016,"6"" x 12"" Cast In Place Concrete Gutter With 6"" Curb And Face - Straight",32,Exterior Improvements,LF,9000,Concrete curb and gutter,Calculated,7.947,7.064,2.649,17.66,1096.1379310344828,58,66.69999999999999,01 22 20 00-0013,"Equipment Operator, Light (Backhoe, Skid-Steer Loader)",CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.08,1,1,1.15,1.12,1.125,86514.22080000001,73112.4,26821.125,0,186447.7458,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3651",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
69,26 56 13 00-0192,"20' High, 4"" OD, 11 Gauge, Round Straight, Steel Area Light Pole, Anchor Base",26,Electrical,EA,42,Twenty-foot site light poles,Calculated,779.468,1071.7685,97.4335,1948.67,579.4088943235937,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,39232.80695040001,51766.418549999995,4603.732875,0,95602.9583754,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3400",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
70,26 56 19 00-0238,"77 Watt, Post Top Mount, Acorn Style LED Area Fixture (Cooper Lighting Invue® MSA-CO3)",26,Electrical,EA,42,LED area fixtures,Calculated,923.156,1269.3395,115.3945,2307.89,686.2177757755181,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.07,1,1,1.15,1.12,1.125,46465.026316799995,61309.09785,5452.390124999999,0,113226.5142918,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 3447",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
71,33 14 13 39-0028,"8"" Type K Copper Water Distribution Pipe",33,Utilities,LF,3500,Conceptual eight-inch water distribution,Calculated,182.28,182.28,91.14,455.7,7919.314796425025,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,785991.3600000002,733677,358863.75,0,1878532.1100000003,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 4020",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
72,33 31 11 00-0024,"8"" Schedule 40 Polyvinyl Chloride (PVC) Sewer And Drain Pipe",33,Utilities,LF,3500,Conceptual eight-inch PVC sanitary sewer,Calculated,12.072,12.072,6.036,30.18,524.4786494538232,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,52054.464,48589.799999999996,23766.75,0,124411.014,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 4038",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
73,33 42 11 00-0007,"24"" Diameter Class 3 Reinforced Concrete Pipe Without Gaskets",33,Utilities,LF,4500,Conceptual 24-inch RCP storm drainage,Calculated,31.224,31.224,15.612,78.06,1744.1410129096325,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,173105.856,161584.19999999998,79035.75,0,413725.806,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 4051",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
74,33 42 31 00-0056,"6' Deep, 4' x 4' x 8"" Thick Wall, Cast In Place, Catch Basin",33,Utilities,EA,24,Six-foot-deep catch basins,Calculated,1221.044,1221.044,610.522,3052.61,363.7668321747766,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,36103.82899200001,33700.814399999996,16484.094,0,86288.737392,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 4099",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
75,33 14 19 00-0331,"6' Burial Section, Three Way, Modern Type Fire Hydrant",33,Utilities,EA,6,Six-foot-burial three-way fire hydrants,Calculated,1781.544,1781.544,890.772,4453.86,132.68699106256207,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0.1,1,1,1.15,1.12,1.125,13169.173248000005,12292.6536,6012.711,0,31474.537848000004,June 2023,"_docs/Construction Task Catalog® - Distribution.pdf, page 4033",Medium,L/M/E and labor-hour splits are CTC-engine allocation fields; the published CTC price is bundled direct cost.
76,,Specialties complete-system residual,10,Specialties,LS,1,"Complete residential/common specialties, signage and mail/package systems.",Benchmark assumption,,,,,12252.280026063881,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,1124268.4494241201,817649.78139936,102206.22267492,0,2044124.4534984,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
77,,Equipment complete-system residual,11,Equipment,LS,1,Complete appliance and common-equipment packages; retail equipment excluded.,Benchmark assumption,,,,,8204.900566886776,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,1213988.8829760002,606994.4414880001,202331.48049600003,0,2023314.8049600003,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
78,,Furnishings and Casework complete-system residual,12,Furnishings and Casework,LS,1,"Complete casework, counters, blinds and amenity furnishings allowance.",Benchmark assumption,,,,,7494.734706624011,58.03,66.7345,01 22 20 00-0006,Carpenter,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,857412.6399072001,500157.37327920005,71451.05332560002,0,1429021.0665120003,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
79,,Special Construction complete-system residual,13,Special Construction,LS,1,"Pool vessel/equipment, canopies and normal site amenities.",Benchmark assumption,,,,,5087.618233405743,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,423426.88473552006,376379.4530982401,141142.29491184,0,940948.6327456001,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
80,,Conveying Equipment complete-system residual,14,Conveying Equipment,LS,1,Eight complete elevator systems including controls and normal cab allowance.,Benchmark assumption,,,,,1391.2443002318194,64.33,73.97949999999999,01 22 20 00-0018,Millwright,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,117626.92309599985,102923.55770899986,73516.8269349999,0,294067.3077399996,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
81,,Fire Suppression complete-system residual,21,Fire Suppression,LS,1,"Complete sprinkler distribution, standpipe/fire-pump allowance and garage coverage.",Benchmark assumption,,,,,5473.361715300506,77.76,89.42399999999999,01 22 20 00-0030,Sprinkler Installer,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,489449.8980290324,489449.8980290324,108766.64400645165,0,1087666.4400645164,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
82,,Plumbing complete-system residual,22,Plumbing,LS,1,"Complete fixtures, domestic water, sanitary/storm piping, risers and equipment.",Benchmark assumption,,,,,48137.67441359181,80.56,92.64399999999999,01 22 20 00-0024,Plumber,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,3567733.36669824,4459666.7083728,891933.34167456,0,8919333.4167456,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
83,,HVAC complete-system residual,23,HVAC,LS,1,"Complete apartment HVAC, DOAS/ventilation, retail shell and controls.",Benchmark assumption,,,,,101222.08511225577,82.57,94.95549999999999,01 22 20 00-0029,Sheet Metal Worker,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,9611593.7028768,9611593.7028768,2135909.7117504003,0,21359097.117504,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
84,,Electrical complete-system residual,26,Electrical,LS,1,"Complete service, distribution, feeders, branch wiring, lighting and site power.",Benchmark assumption,,,,,112061.3727219847,77.69,89.34349999999999,01 22 20 00-0010,Electrician,CTC_ALLOCATED_LABOR_COST_DIVIDED_BY_CTC_TRADE_RATE,0,1,1,1.15,1.12,1.125,7281422.00275392,10011955.25378664,910177.75034424,0,18203555.0068848,"June 2023 basis, July 2026 calibration",Existing Kealee CTC-calibrated mixed-use subsystem model: scripts/build_argona_cost_model.mjs,Medium,No CTC item ID: this is the transparent residual between exact selected tasks and Kealee’s existing complete-system division check. Labor hours use the division-mapped published CTC hourly trade rate.
